SSP,Year_range,Simulation,Gradual_thaw_GtCO2e,Abrupt_thaw_GtCO2e,Combustion_GtCO2e,Postfire_thaw_GtCO2e,Stacked_total_GtCO2e,Stacked_total_sd_GtCO2e
SSP1-2.6,2025 to 2050,a,32.40987552605324,0,0,0,32.40987552605324,31.548808403170614
SSP1-2.6,2025 to 2100,a,97.42798022716472,0,0,0,97.42798022716472,83.37357326492719
SSP2-4.5,2025 to 2050,a,36.1042534316812,0,0,0,36.1042534316812,35.51498981689924
SSP2-4.5,2025 to 2100,a,174.51089335589887,0,0,0,174.51089335589887,148.11406849404574
SSP4-6.0,2025 to 2050,a,38.134138789429294,0,0,0,38.134138789429294,37.669501660124425
SSP4-6.0,2025 to 2100,a,215.04142468555543,0,0,0,215.04142468555543,179.28060846236903
SSP5-8.5,2025 to 2050,a,47.02670534398258,0,0,0,47.02670534398258,45.87340147116085
SSP5-8.5,2025 to 2100,a,464.34061053909664,0,0,0,464.34061053909664,386.7664734452836
SSP1-2.6,2025 to 2050,b,33.34269614396132,29.36441248188707,0,0,62.70710862584838,37.49302988013141
SSP1-2.6,2025 to 2100,b,101.49453633010782,126.52556649752307,0,0,228.02010282763092,115.41156970488328
SSP2-4.5,2025 to 2050,b,37.0446577173151,30.880485349677443,0,0,67.92514306699252,41.477599936144685
SSP2-4.5,2025 to 2100,b,181.31518635025512,166.75735089718003,0,0,348.0725372474351,180.72104207936343
SSP4-6.0,2025 to 2050,b,39.07016187505952,31.677956316464773,0,0,70.74811819152427,43.6900189937088
SSP4-6.0,2025 to 2100,b,222.47444675666972,179.88451784370434,0,0,402.3589646003739,211.6299415752679
SSP5-8.5,2025 to 2050,b,48.16689776812963,35.3248690130409,0,0,83.49176678117054,51.70890256600857
SSP5-8.5,2025 to 2100,b,479.48199052670986,222.42621283921807,0,0,701.9082033659279,421.7690343877889
SSP1-2.6,2025 to 2050,c,34.39587142142148,30.17042488835647,29.43066890125709,0,93.99696521103502,42.72630179128711
SSP1-2.6,2025 to 2100,c,106.04643514631084,130.68708668996658,85.92451606256643,0,322.6580378988438,136.0854384970185
SSP2-4.5,2025 to 2050,c,38.14393607366448,31.661460914567897,30.978850089384405,0,100.7842470776168,46.65915835719035
SSP2-4.5,2025 to 2100,c,188.87070699116177,170.7153956829985,116.6092813739858,0,476.195384048146,206.56951205286188
SSP4-6.0,2025 to 2050,c,40.19953397145847,32.44779916550782,31.819315800630115,0,104.4666489375964,48.93887036882088
SSP4-6.0,2025 to 2100,c,231.25346138031856,183.71060293290157,127.98616920300232,0,542.9502335162224,239.30579881190695
SSP5-8.5,2025 to 2050,c,49.4902261225999,36.124797946603955,35.633293007699194,0,121.24831707690302,57.19334748639589
SSP5-8.5,2025 to 2100,c,495.5816432216576,225.9573100852084,172.2479471248854,0,893.7869004317513,466.1871431140265
SSP1-2.6,2025 to 2050,d,34.817342436647465,30.3911263579968,29.19238183324604,10.59359029897946,104.99444092686976,49.36696638332128
SSP1-2.6,2025 to 2100,d,108.20036211723212,132.2974988324017,85.82268976907045,60.516271158503926,386.8368218772081,166.89733960845146
SSP2-4.5,2025 to 2050,d,38.568125330490794,31.870065001787125,30.700971686185937,10.776339899306691,111.91550191777054,53.55335873033897
SSP2-4.5,2025 to 2100,d,192.1976640060117,171.89519278813876,116.0077275143806,72.01212018792157,552.1127044964526,243.54682946789785
SSP4-6.0,2025 to 2050,d,40.62218249160231,32.649349704637615,31.514620863814635,10.891944318856856,115.6780973789114,55.93737413461937
SSP4-6.0,2025 to 2100,d,234.76825737857877,184.7208925134506,127.15914992324691,76.94438857896763,623.5926883942437,278.03397779432214
SSP5-8.5,2025 to 2050,d,49.9733040514179,36.29167643391099,35.28658826793251,11.577782134503,133.1293508877644,64.66926496229769
SSP5-8.5,2025 to 2100,d,502.02479551394015,226.5912887887812,170.83234793721928,102.9835326762267,1002.4319649161672,511.74142973865713
