Target,Simulation,Model,Avoidance_Budget_reduction_GtCO2_mean,Avoidance_Budget_reduction_GtCO2_sd
1.5,a,JSBACH,73.78959606,27.45916486
1.5,b,JSBACH,110.7566694,45.51426303
1.5,c,JSBACH,146.6548481,56.8199259
1.5,d,JSBACH,170.8058774,68.34261045
2,a,JSBACH,157.5398785,42.1485623
2,b,JSBACH,231.1183956,61.9711692
2,c,JSBACH,300.4295677,73.77650818
2,d,JSBACH,352.9110157,92.08256682
1.5,a,JULES-DeepResp,39.16278917,19.22774802
1.5,b,JULES-DeepResp,74.04765007,36.20098618
1.5,c,JULES-DeepResp,111.5170899,48.82298705
1.5,d,JULES-DeepResp,123.1339121,54.84145595
2,a,JULES-DeepResp,87.18959368,32.9199161
2,b,JULES-DeepResp,158.3655889,52.8297097
2,c,JULES-DeepResp,228.9030675,65.25230665
2,d,JULES-DeepResp,256.3909534,77.38853461
1.5,a,JULES-SuppressResp,9.80951375,5.338269892
1.5,b,JULES-SuppressResp,45.24606454,24.86548164
1.5,c,JULES-SuppressResp,81.33744049,38.07463692
1.5,d,JULES-SuppressResp,95.43178015,43.72741245
2,a,JULES-SuppressResp,21.08691433,8.665024631
2,b,JULES-SuppressResp,93.07226389,36.07207588
2,c,JULES-SuppressResp,160.0734575,50.30349393
2,d,JULES-SuppressResp,190.3759354,58.15976501
1.5,a,ORCHIDEE,25.10188407,14.58192645
1.5,b,ORCHIDEE,60.59693615,32.66013272
1.5,c,ORCHIDEE,98.05192638,43.71837317
1.5,d,ORCHIDEE,109.0226842,49.6126059
2,a,ORCHIDEE,64.34006964,29.09704858
2,b,ORCHIDEE,135.6781317,50.06172011
2,c,ORCHIDEE,207.7501783,64.06555255
2,d,ORCHIDEE,231.5192287,70.87921962
1.5,a,Multi-model mean,37,30
1.5,b,Multi-model mean,73,43
1.5,c,Multi-model mean,109,53
1.5,d,Multi-model mean,124,62
2,a,Multi-model mean,83,58
2,b,Multi-model mean,155,72
2,c,Multi-model mean,224,81
2,d,Multi-model mean,258,96
